"channelId","频道名称","清理结论","原因代码","说明","清理后领域","原搜索词","证据片段","公开来源","原观察时间"
"UCNcdbMyA59zE-Vk668bKWOg","Disney Jr.","review","industry_media_or_aggregator","媒体／节目／故事汇编与从业主体分开，暂不混入主联系名单。","","animal rescue","fficial Disney Jr. YouTube every day for live streams, full episodes, show clips, shorts, and compilations from Mickey Mouse Clubhouse+, Marvel's Iron Man and his Awesome Friends, Sofia the First: Royal Magic, Pixar Cars, Gracie's Corner, Megan and Cupcakes, Me & Mick","https://www.youtube.com/channel/UCNcdbMyA59zE-Vk668bKWOg","2026-09-18T12:21:02.154Z"
"UCAuUUnT6oDeKwE6v1NGQxug","TED","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","veterinary; veterinarian; physical therapist","and exclusive content. Look for videos on Technology, Entertainment and Design as well as science, business, global issues, the arts and more. Visit for our entire library, transcripts, translations and personalized recommendations. TED videos may be used for non","https://www.youtube.com/channel/UCAuUUnT6oDeKwE6v1NGQxug","2026-09-18T08:00:39.837Z"
"UC5PYHgAzJ1wLEidB58SK6Xw","Blippi - Educational Videos for Kids","exclude","children_entertainment","儿童娱乐／启蒙内容，偶然探访兽医、动物收容所不代表其主体从事该职业。","","veterinarian; animal rescue","laces such as children’s museums and the zoo! He loves singing, dancing, playing and exploring. His contagious curiosity engages young viewers in learning adventures that help them both grow and develop. Music ► Facebook ► Instagram ► TikTok ► Moonbug ►","https://www.youtube.com/channel/UC5PYHgAzJ1wLEidB58SK6Xw","2026-09-18T09:00:29.300Z"
"UCpVm7bg6pXKo1Pr6k5kxG9A","National Geographic","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","animal rescue","portal to the world, showcasing all of the wonder and beauty that it has to offer. This page allows our fans to join us while promoting an enriching and supportive climate for our community. Therefore, we do not tolerate words of hate, harassment or disparagem","https://www.youtube.com/channel/UCpVm7bg6pXKo1Pr6k5kxG9A","2026-09-18T12:21:28.940Z"
"UCAJnyTWJPpKXuwgWQDdNWrQ","Netflix Jr.","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","veterinary; veterinarian","Welcome to the official Netflix Jr. channel! Where kids can learn, sing and play with their favorite Netflix characters - from StoryBots to Super Monsters and everyone in between. About Netflix: Netflix is one of the world’s leading entertainment services offering TV series, films, games and live programming across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time","https://www.youtube.com/channel/UCAJnyTWJPpKXuwgWQDdNWrQ","2026-09-18T12:18:57.284Z"
"UC6E2mP01ZLH_kbAyeazCNdg","Brave Wilderness","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","Brave Wilderness is your one stop connection to a wild world of adventure and amazing up close animal encounters! Follow along with Coyote Peterson and Mark Vins as they lead you on a variety of expeditions featuring everything from Grizzly Bears and Crocodiles to King Cobras and Murder Hornets! Every single episode offers an opportunity to learn something new about incredible species that call our planet home. So SUBSCRIBE NOW and join the adventure that brings you closer to","https://www.youtube.com/channel/UC6E2mP01ZLH_kbAyeazCNdg","2026-09-18T12:18:36.166Z"
"UCelMeixAOTs2OQAAi9wU8-g","CookieSwirlC","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","animal rescue","🍪 TWITER: @cookieswirlc CookieSwirlC does NOT have a Roblox star code, Facebook, Snapchat , TikTok, or PO Box address ! Be smart and safe online! _____________________ Virtual Youtuber Avatar Art by Twitter Artist : @rin7914 Avatar Rigged by Live2D Twitter :","https://www.youtube.com/channel/UCelMeixAOTs2OQAAi9wU8-g","2026-09-18T12:19:31.724Z"
"UCG2CL6EUjG8TVT1Tpl9nJdg","Ms Rachel - Toddler Learning Videos","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","veterinarian","Toddler Learning Videos and Baby Learning Videos with a real teacher, Ms Rachel! Ms Rachel uses techniques recommended by speech therapists and early childhood experts to help children learn important milestones and preschool skills! You can trust Ms Rachel to provide interactive, high quality screen time! Ms Rachel also gets kids moving through fun nursery rhymes & kids songs videos! Her videos for toddlers are informed by research and are full of learning standards that wil","https://www.youtube.com/channel/UCG2CL6EUjG8TVT1Tpl9nJdg","2026-09-18T12:19:50.090Z"
"UCWV3obpZVGgJ3j9FVhEjF2Q","Real Madrid","exclude","sports_entertainment","体育俱乐部或比赛内容，未见康复／治疗从业主体。","","physical therapist","⚽️🏆🌍 Welcome to Real Madrid C.F.'s official YouTube channel. Real Madrid is the most successful club in the history of football. Enjoy the best Real Madrid content here - highlights, behind-the-scenes access, training sessions, goals, historic action and much, much more! ⚽️🏆🌍 Bienvenido al canal oficial de YouTube del Real Madrid C.F.. El Real Madrid es el club más exitoso de la historia del fútbol. ¡Disfruta de los mejores goles, highlights, trucos, nuevos jugadores, ent","https://www.youtube.com/channel/UCWV3obpZVGgJ3j9FVhEjF2Q","2026-09-18T12:22:46.172Z"
"UCkEBDbzLyH-LbB2FgMoSMaQ","Animal Planet","review","industry_media_or_aggregator","媒体／节目／故事汇编与从业主体分开，暂不混入主联系名单。","","veterinary; veterinarian; animal rescue","lovers and pet owners access to a centralized online, television and mobile community for immersive, engaging, high-quality entertainment, information and enrichment.","https://www.youtube.com/channel/UCkEBDbzLyH-LbB2FgMoSMaQ","2026-09-18T07:58:57.509Z"
"UCBi2mrWuNuyYy4gbM6fU18Q","ABC News","exclude","general_news","综合新闻／广播内容，采访目标专业人员不等于自身是目标专业频道。","","veterinarian; animal rescue","ABC News is your daily source for breaking national and world news, exclusive interviews and 24/7 live streaming coverage that will help you stay up to date on the events shaping our world.","https://www.youtube.com/channel/UCBi2mrWuNuyYy4gbM6fU18Q","2026-09-18T12:19:05.505Z"
"UCupvZG-5ko_eiXAupbDfxWw","CNN","exclude","general_news","综合新闻／广播内容，采访目标专业人员不等于自身是目标专业频道。","","massage therapist","CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.","https://www.youtube.com/channel/UCupvZG-5ko_eiXAupbDfxWw","2026-09-18T12:08:57.400Z"
"UCo_IB5145EVNcf8hw1Kku7w","The Game Theorists","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary","en in your favorite games. We explore the vast lore of Minecraft, piece together the craziest FNAF conspiracies, and cover the whole world of indie gaming on this channel. Join the ORIGINAL Team Theorist and Level up by hitting subscribe! For even more theories,","https://www.youtube.com/channel/UCo_IB5145EVNcf8hw1Kku7w","2026-09-18T12:21:08.942Z"
"UCpko_-a4wgz2u_DgDgd9fqA","BuzzFeedVideo","review","industry_media_or_aggregator","媒体／节目／故事汇编与从业主体分开，暂不混入主联系名单。","","massage therapist","Welcome to your digital happy place. We’ve curated the ultimate collection of comfort watches—from alumni reunions and reacts to deep dives into the stories that matter today. It’s the talent you know, in the style you love. When to watch: ✨ Monthly","https://www.youtube.com/channel/UCpko_-a4wgz2u_DgDgd9fqA","2026-09-18T08:56:27.546Z"
"UCINb0wqPz-A0dV9nARjJlOQ","The Dodo","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","chiropractors; massage therapist; animal rescue","The home for animal people.","https://www.youtube.com/channel/UCINb0wqPz-A0dV9nARjJlOQ","2026-09-18T09:00:08.998Z"
"UCQ00zWTLrgRQJUb8MHQg21A","Come Play With Me","exclude","children_entertainment","儿童／玩具／家庭娱乐，未见目标服务主体。","","animal rescue","COME PLAY WITH ME is an educational kid friendly toy doll channel featuring parody videos with various characters: Elsa, Anna, Barbie and many more! Subscribe, it's free and you will know when we upload a new video:) Thank you for visiting and watching our videos!","https://www.youtube.com/channel/UCQ00zWTLrgRQJUb8MHQg21A","2026-09-18T12:21:31.836Z"
"UCCj956IF62FbT7Gouszaj9w","BBC","exclude","general_news","综合新闻／广播内容，采访目标专业人员不等于自身是目标专业频道。","","animal rescue","The BBC is the world’s leading public service broadcaster. We’re impartial and independent, and every day we create distinctive, world-class programmes and content which inform, educate and entertain millions of people in the UK and around the world. SUBSCRIBE to our YouTube channel to get the best of BBC entertainment and comedy programmes, stories from science and nature documentaries, and much more! 👉 Get ALL your fresh TV, and sofa-hugging box sets on iPlayer 👉","https://www.youtube.com/channel/UCCj956IF62FbT7Gouszaj9w","2026-09-18T12:19:15.630Z"
"UC-Gm4EN7nNNR3k67J8ywF4g","Blippi Playtime","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","animal rescue","with STEM activities, wild animal facts, and super fun Roblox gaming! With high-energy sing-alongs and silly games, Blippi Playtime makes vocabulary development and early childhood education a total blast. Join the fun at the zoo, the children's museum, the tra","https://www.youtube.com/channel/UC-Gm4EN7nNNR3k67J8ywF4g","2026-09-18T09:00:58.959Z"
"UCDPk9MG2RexnOMGTD-YnSnA","Nat Geo Animals","review","general_pet_or_adjacent","泛宠物／饲养／动物知识等邻近领域，没有确认兽医、康复或救助运营主体。","","veterinary; veterinarian; animal rescue","Explore the wonders of the animal kingdom with National Geographic. National Geographic Animals is a place for all things animals and for animal-lovers alike. Take a journey through the animal kingdom with us and discover things you never kn","https://www.youtube.com/channel/UCDPk9MG2RexnOMGTD-YnSnA","2026-09-18T07:59:14.071Z"
"UC0QHWhjbe5fGJEPz3sVb6nw","Doctor Mike","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","veterinary; veterinarian","Dr. Mikhail ""Mike"" Varshavski D.O. Actively Practicing Board Certified Family Medicine Doctor living in NYC Health/Medicine Influencer w/ 30,000,000+ followers Aiming to make the field of medicine relatable, understandable, and fun! Executive Producer - Doctor Mike Director of Production - Dan Owens Managing Editor/Producer - Sam Bowers Editor/Designer - Caroline Weigum Editor - Juan Carlos Zuniga","https://www.youtube.com/channel/UC0QHWhjbe5fGJEPz3sVb6nw","2026-09-18T08:00:33.044Z"
"UC3w193M5tYPJqF0Hi-7U-2g","Dr. Eric Berg DC","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","massage therapist","With over 48,000,000 followers worldwide, Dr. Eric Berg DC spreads the truth about getting healthy and losing weight. Dr. Berg DC, age 61, specializes in Healthy Keto® and Intermittent Fasting. He is the director of Dr. Berg's Nutritionals and a best-selling Amazon author. His book, The Healthy Keto Plan describes specific strategies on doing the healthy version of the ketogenic diet as well as intermittent fasting. He has conducted over 4800 seminars on health-related topics","https://www.youtube.com/channel/UC3w193M5tYPJqF0Hi-7U-2g","2026-09-18T12:18:23.223Z"
"UCteP4dGuFeam_i5FnVQNvlA","是曼玉不是鳗鱼 Littlemanyu","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","massage therapist","Inu named MANYU. She hopes to experience every bit of beauty in the world with her loving dad and her adorable brother BAI (a West Highland White Terrier). We aim to share this beauty with everyone, wishing you all health, happiness, and carefree joy!🐾 This","https://www.youtube.com/channel/UCteP4dGuFeam_i5FnVQNvlA","2026-09-18T09:16:08.418Z"
"UC9k-yiEpRHMNVOnOi_aQK8w","Inside Edition","exclude","general_news","综合新闻／广播内容，采访目标专业人员不等于自身是目标专业频道。","","veterinarian; animal rescue","Inside Edition is television's longest-running, top-rated, and most-honored syndicated newsmagazine. in News and Politics on YouTube (Tubular Labs).","https://www.youtube.com/channel/UC9k-yiEpRHMNVOnOi_aQK8w","2026-09-18T12:18:50.456Z"
"UCftwRNsjfRo08xYE31tkiyw","WIRED","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","veterinary; veterinarian; physical therapist","For future reference.","https://www.youtube.com/channel/UCftwRNsjfRo08xYE31tkiyw","2026-09-18T08:40:28.029Z"
"UCToxKVrkEuAONR4rFIJ_DyQ","GameToons","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","veterinary","Welcome to GameToons! We make animated cartoon parodies of your favorite games!","https://www.youtube.com/channel/UCToxKVrkEuAONR4rFIJ_DyQ","2026-09-18T12:22:10.098Z"
"UCaQk0pF6pxjOe2_gSHQbiMw","Kat","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary","just a diva who loves games 🔲 ADD ME ON ROBLOX: @katrinaducks 💌 CONTACT ME: kat@katbuno.com FOLLOW ME ON OTHER SOCIALS! ❤️ instagram: @katrinabuno 👻 snapchat: @katrinabuno 🎶 tiktok: @katbuno 🐦 twitter: @katbuno Hi and welcome to the offici","https://www.youtube.com/channel/UCaQk0pF6pxjOe2_gSHQbiMw","2026-09-18T12:08:37.578Z"
"UCeY0bbntWzzVIaj2z3QigXg","NBC News","review","industry_media_or_aggregator","媒体／节目／故事汇编与从业主体分开，暂不混入主联系名单。","","animal rescue","ss, and Dateline — to NBC News NOW, the 24/7 streaming news channel, plus chart-topping podcasts, the NBC News app, and NBCNews.com, NBC News keeps audiences informed and connected to the stories shaping our world. NBC News. Reporting for America. Connect with NBC","https://www.youtube.com/channel/UCeY0bbntWzzVIaj2z3QigXg","2026-09-18T09:16:10.073Z"
"UCUk7VggtJdo9XYTy3Z5QVAw","ItsFunneh","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary","We're KREW! We play Roblox, Minecraft, and more! Funny gaming videos, live streams, vlogs, and new videos every week. If you enjoy our videos, subscribe and join KF! Your support helps us continue to do what we love! :)","https://www.youtube.com/channel/UCUk7VggtJdo9XYTy3Z5QVAw","2026-09-18T12:22:18.605Z"
"UCsPMNatXCwqyUuJilBT73jg","CaylusBlox","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary","i play roblox here subscribe and join the CAYLUS KINGDOM","https://www.youtube.com/channel/UCsPMNatXCwqyUuJilBT73jg","2026-09-18T12:22:00.258Z"
"UC63anZxfVGHUEmfBAf5w7pw","CaseOh","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","veterinary","Streamer on Twitch - caseoh_","https://www.youtube.com/channel/UC63anZxfVGHUEmfBAf5w7pw","2026-09-18T12:18:35.376Z"
"UCcyq283he07B7_KUX07mmtA","Business Insider","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","Business Insider is a global newsroom covering business, technology, and the economy. We help ambitious, curious people stay informed, understand the context, and get ahead. Our videos break down how industries operate, how decisions get made, and how power and money move across the globe. We report on the companies, people, and trends shaping the world — and explain what it means for your work, money, and future. We publish videos weekly. Expect explainers, deep dives, and o","https://www.youtube.com/channel/UCcyq283he07B7_KUX07mmtA","2026-09-18T12:19:18.944Z"
"UCeBnbqt4VRhotq2TQjkIi2A","LaurenZside","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary; animal rescue","hurs-Sun!! My name is Lauren & I'm a self-proclaimed ""Gaming Comedian"". I'm here to make you laugh whether with me or at me ;)","https://www.youtube.com/channel/UCeBnbqt4VRhotq2TQjkIi2A","2026-09-18T12:08:40.867Z"
"UC_wITz-Ze4JFc3WLQA1n3Hw","RubyandBonnie","review","general_pet_or_adjacent","泛宠物／饲养／动物知识等邻近领域，没有确认兽医、康复或救助运营主体。","","veterinarian","nie are sisters and we create a series of educational, funny and entertaining family friendly videos. We hope you enjoy our show :)","https://www.youtube.com/channel/UC_wITz-Ze4JFc3WLQA1n3Hw","2026-09-18T12:17:57.890Z"
"UCsMRgE1IQFkgGvyfBDh3BAw","Funny Sofia Show","review","missing_biography","缺少公开简介，名称或搜索命中不足以确认服务领域。","","veterinary; veterinarian; animal rescue","Funny Sofia Show","https://www.youtube.com/channel/UCsMRgE1IQFkgGvyfBDh3BAw",""
"UCr-rCvgg21KqfrnGopaQeGw","Robocar POLI TV","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","✔ Shop Official Robocar Poli Toys ⬇ - Robocar POLI is a story about a police car, a fire truck, an ambulance, and a helicopter that can transform into robots to help friends in danger and solve problems. Through the story, Robocar POLI delivers valuable messages such as love, friendship, trust, forgiveness, consideration, compromise, communication, cooperation, etc. to help with the emotional, cognitive, and moral growth of children. Full & Whole Episodes Available on Robocar","https://www.youtube.com/channel/UCr-rCvgg21KqfrnGopaQeGw","2026-09-18T12:21:44.599Z"
"UCYJPby9DRCteedh5tfxVbrw","Smosh Pit","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","Welcome to the Smosh Pit. It's like our other channel, but...different? Get to know us and try not to laugh. New videos every Tuesday, Thursday, and Saturday.","https://www.youtube.com/channel/UCYJPby9DRCteedh5tfxVbrw","2026-09-18T12:23:02.578Z"
"UCHJuQZuzapBh-CuhRYxIZrg","Insider","review","industry_media_or_aggregator","媒体／节目／故事汇编与从业主体分开，暂不混入主联系名单。","","chiropractors","Works, Authorized Account, and How Real Is It? Expect documentaries, explainers, and behind-the-scenes videos about the jobs, industries, and culture shaping how we live. Visit our homepage for the top stories of the day: If you have a permissions or licensing r","https://www.youtube.com/channel/UCHJuQZuzapBh-CuhRYxIZrg","2026-09-18T08:47:52.305Z"
"UCPIvT-zcQl2H0vabdXJGcpg","The Pet Collective","review","general_pet_or_adjacent","泛宠物／饲养／动物知识等邻近领域，没有确认兽医、康复或救助运营主体。","","animal rescue","We’re the happy place for animal lovers. You’ll always find real pets, real joy and real moments that remind you why animals make life better, here at The Pet Collective. ✨💕🐶Subscribe to The Scoop for our most entertaining pet videos","https://www.youtube.com/channel/UCPIvT-zcQl2H0vabdXJGcpg","2026-09-18T12:21:24.328Z"
"UCSpVHeDGr9UbREhRca0qwsA","Howcast","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","massage therapist; animal rescue","accurate, reliable information on topics ranging from makeup tutorials, cute hairstyles, and nail art designs to soccer tricks, parkour, and skateboarding, plus how to dougie, how to kiss, and much, much more. Howcast empowers people with engaging, useful how-","https://www.youtube.com/channel/UCSpVHeDGr9UbREhRca0qwsA","2026-09-18T12:22:00.678Z"
"UCGCPAOQDZa_TTTXDr5byjww","Joey Graceffa","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","animal rescue","fascinating vlogs, LGBTQ content and a wide variety of gaming content this is the channel for you! Make sure to subscribe and enable ALL notifications, and for instant updates, check out my social media accounts below.","https://www.youtube.com/channel/UCGCPAOQDZa_TTTXDr5byjww","2026-09-18T12:19:51.988Z"
"UC5sGdW8Jf7ijogDhcIFRmlw","Kalogeras Sisters","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","animal rescue","Business: Kalogeras@Night.co","https://www.youtube.com/channel/UC5sGdW8Jf7ijogDhcIFRmlw","2026-09-18T09:02:51.999Z"
"UCqf2gzmKtH3PaAbt-qgFFsw","TLC","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","chiropractors","Offering remarkable real-life stories without judgment, TLC shares everyday heart, humor, hope and human connection with programming genres that include fascinating families, heartwarming transformations and life’s milestone moments.","https://www.youtube.com/channel/UCqf2gzmKtH3PaAbt-qgFFsw","2026-09-18T12:21:37.115Z"
"UCqA5tXN003u-18CKSICLDdg","Avocado Playz","exclude","gaming","频道公开简介以游戏／游戏娱乐为主，搜索命中不作为专业服务依据。","","veterinary","👕Roblox Merch: ⭐PLAY ROBLOX USING MY LINK: ⭐USE STAR CODE: AVOCADO 🎥 My Official TikTok: 📧Business Email: avocadoplayz1@gmail.com 💌Fan Email: avocadoplayzfans@gmail.com 🎨 PNG Models made by:","https://www.youtube.com/channel/UCqA5tXN003u-18CKSICLDdg","2026-09-18T12:21:35.070Z"
"UC3fsBqx7qkIoJnLNRmoYW7w","Dr. Harish Grover","keep","explicit_professional_scope","公开简介具有本人职业、专门诊所／服务或专门行业教学依据；未核验资质与合作意愿。","chiropractors","chiropractors","h Grover – Posture & Spine Alignment Specialist | Best Chiropractor in India 🇮🇳. Get expert chiropractic and spine alignment treatment from Dr. Harish Grover, a renowned Chiropractor in Gurgaon and founder of Painflame Clinic. Book Your Appointment Today 📍 Sector","https://www.youtube.com/channel/UC3fsBqx7qkIoJnLNRmoYW7w","2026-09-18T09:16:11.675Z"
"UCpi8TJfiA4lKGkaXs__YdBA","The Try Guys","review","insufficient_own_scope","现有自述不足以确认本人从事目标服务；不再用搜索命中或两条相关视频直接纳入。","","chiropractors","join us on 2ndtry.tv for exclusive shows and early access! merch: tryguys.com business inquiries: 2ndtrybusiness@gmail.com","https://www.youtube.com/channel/UCpi8TJfiA4lKGkaXs__YdBA","2026-09-18T12:21:24.217Z"
"UCsmxCQDcT9Tb6WchlS5Of0Q","Wilderness TV","review","rescue_story_or_unconfirmed","只有救助故事、传播口号或名称线索，缺少足够的本人救助运营依据。","","animal rescue","Wilderness TV is a channel about rescuing and caring for animals, and building safe, beautiful homes for them by hand using mud, clay, and natural materials. On this channel, I rescue puppies, dogs, cats, rabbits, and other animals from unsafe places, then create","https://www.youtube.com/channel/UCsmxCQDcT9Tb6WchlS5Of0Q","2026-09-18T12:08:54.749Z"
"UCxlJ45KjG4XVcQ_hd8j227A","Peekaboo Kidz","exclude","unrelated_entertainment_or_news","简介为泛娱乐、泛生活或综合资讯；未见六类目标服务主体依据。","","animal rescue","ccessible and entertaining for children. With vibrant animations and clear explanations, Peekaboo Kidz is a trusted resource for parents and educators seeking quality educational content. Subscribe now and embark on a fun-filled learning journey! For brand collab","https://www.youtube.com/channel/UCxlJ45KjG4XVcQ_hd8j227A","2026-09-18T12:22:53.898Z"
"UCWEhCU7KbroYen6JIn_psIw","Dr.Rajneesh Kant","keep","explicit_professional_scope","公开简介具有本人职业、专门诊所／服务或专门行业教学依据；未核验资质与合作意愿。","physical therapist; chiropractors","chiropractors","ajneesh Kant is a renowned Chiropractor, Osteopath and Physiotherapist with over 22 years of experience in helping people understand, manage and overcome pain and movement-related problems. On this channel, Dr. Rajneesh Kant shares practical and easy-to-understand infor","https://www.youtube.com/channel/UCWEhCU7KbroYen6JIn_psIw","2026-09-18T12:08:59.089Z"
